YEAR	MONTH	DAY	DAY_OF_WEEK	AIRLINE	FLIGHT_NUMBER	TAIL_NUMBER	ORIGIN_AIRPORT	DESTINATION_AIRPORT	SCHEDULED_DEPARTURE	DEPARTURE_DELAY	ARRIVAL_DELAY	CANCELLED
2015	1	1	4	DL	1816	N990AT	ATL	LFT	2102	-1	0	0
2015	1	1	4	DL	886	N918DL	ATL	LGA	645	-1	8	0
2015	1	1	4	DL	986	N924DL	ATL	LGA	745	-5	34	0
2015	1	1	4	DL	1063	N963DN	ATL	LGA	945	0	-8	0
2015	1	1	4	DL	1286	N901DA	ATL	LGA	1045	13	0	0
2015	1	1	4	DL	1782	N915DE	ATL	LGA	1145	0	-4	0
2015	1	1	4	DL	1486	N995DL	ATL	LGA	1245	-3	-12	0
2015	1	1	4	DL	1586	N612DL	ATL	LGA	1345	31	19	0
2015	1	1	4	DL	1545	N916DL	ATL	LGA	1445	-3	-20	0
2015	1	1	4	DL	1786	N912DL	ATL	LGA	1545	-3	-12	0
2015	1	1	4	DL	1886	N916DE	ATL	LGA	1645	-5	-18	0
2015	1	1	4	DL	1986	N963DL	ATL	LGA	1745	-2	-25	0
2015	1	1	4	DL	906	N370NW	ATL	LGA	2045	13	3	0
2015	1	1	4	DL	2386	N3748Y	ATL	LGA	2145	-5	-11	0
2015	1	1	4	DL	1861	N925AT	ATL	LIT	1342	-3	-19	0
2015	1	1	4	DL	1413	N987DL	ATL	LIT	1855	-2	-20	0
2015	1	1	4	DL	1432	N989DL	ATL	LIT	2107	-2	-4	0
2015	1	1	4	DL	2075	N952DN	ATL	MCI	1025	-2	-21	0
2015	1	1	4	DL	2256	N913DL	ATL	MCI	1355	-2	-15	0
2015	1	1	4	DL	2363	N659DL	ATL	MCI	1611	-1	-12	0
2015	1	1	4	DL	1926	N966DL	ATL	MCI	1910	0	-12	0
2015	1	1	4	DL	2407	N665DN	ATL	MCI	2032	-1	-13	0
2015	1	1	4	DL	1818	N555NW	ATL	MCO	655	-1	-7	0
2015	1	1	4	DL	2018	N830DN	ATL	MCO	855	0	5	0
2015	1	1	4	DL	2369	N801DZ	ATL	MCO	1155	-1	-2	0
2015	1	1	4	DL	1058	N595NW	ATL	MCO	1355	-1	2	0
2015	1	1	4	DL	897	N523US	ATL	MCO	1455	-1	-6	0
2015	1	1	4	DL	1943	N144DA	ATL	MCO	1555	-4	-5	0
2015	1	1	4	DL	352	N314NB	ATL	MCO	1655	-7	-1	0
2015	1	1	4	DL	1769	N900PC	ATL	MCO	1755	-4	8	0
2015	1	1	4	DL	1669	N583NW	ATL	MCO	1855	-2	-7	0
2015	1	1	4	DL	1143	N320US	ATL	MCO	1955	11	3	0
2015	1	1	4	DL	1469	N127DL	ATL	MCO	2055	-3	-6	0
2015	1	1	4	DL	1121	N987AT	ATL	MDT	2054	-2	-7	0
2015	1	1	4	DL	2573	N397DA	ATL	MDW	1206	-2	-1	0
2015	1	1	4	DL	1116	N994AT	ATL	MDW	1351	-2	-8	0
2015	1	1	4	DL	2470	N368NW	ATL	MDW	1615	-3	-9	0
2015	1	1	4	DL	2441	N975AT	ATL	MEM	815	0	-15	0
2015	1	1	4	DL	2451	N957AT	ATL	MEM	1050	-2	-14	0
2015	1	1	4	DL	1771	N927AT	ATL	MEM	1245	-2	-13	0
2015	1	1	4	DL	1778	N926AT	ATL	MEM	1619	-1	-13	0
2015	1	1	4	DL	1587	N991AT	ATL	MEM	1730	-1	-11	0
2015	1	1	4	DL	2461	N959DL	ATL	MEM	1900	-3	-10	0
2015	1	1	4	DL	1337	N991DL	ATL	MEM	2030	29	26	0
2015	1	1	4	DL	31	N957DL	ATL	MEM	2140	-2	-8	0
2015	1	1	4	DL	1079	N370NB	ATL	MHT	1855	-2	-20	0
2015	1	1	4	DL	2103	N960DN	ATL	MIA	730	-1	-8	0
2015	1	1	4	DL	7	N908DA	ATL	MIA	855	0	-13	0
2015	1	1	4	DL	1190	N917DE	ATL	MIA	1000	23	11	0
2015	1	1	4	DL	2173	N957DL	ATL	MIA	1107	0	-16	0
2015	1	1	4	DL	1951	N964DN	ATL	MIA	1350	4	-9	0
2015	1	1	4	DL	1860	N947DN	ATL	MIA	1505	-5	-7	0
2015	1	1	4	DL	1605	N916DN	ATL	MIA	1750	0	-14	0
2015	1	1	4	DL	1281	N351NW	ATL	MIA	1910	19	3	0
2015	1	1	4	DL	2281	N318US	ATL	MKE	1050	-1	4	0
2015	1	1	4	DL	2035	N981DL	ATL	MKE	1350	33	28	0
2015	1	1	4	DL	769	N952DN	ATL	MKE	1610	-2	-6	0
2015	1	1	4	DL	766	N964DN	ATL	MKE	1904	2	3	0
2015	1	1	4	DL	1856	N968AT	ATL	MLB	913	-1	-11	0
2015	1	1	4	DL	2213	N969AT	ATL	MLB	1212	-2	-14	0
2015	1	1	4	DL	1756	N999DN	ATL	MLB	2102	-1	-7	0
2015	1	1	4	DL	840	N927AT	ATL	MOB	2106	6	-2	0
2015	1	1	4	DL	1850	N910AT	ATL	MSN	1905	-1	-13	0
2015	1	1	4	DL	784	N556NW	ATL	MSP	830	-4	8	0
2015	1	1	4	DL	1230	N125DL	ATL	MSP	1050	-1	-5	0
2015	1	1	4	DL	329	N372NW	ATL	MSP	1205	-1	-5	0
2015	1	1	4	DL	1852	N955DN	ATL	MSP	1350	6	11	0
2015	1	1	4	DL	744	N965DN	ATL	MSP	1500	0	-15	0
2015	1	1	4	DL	2033	N930DN	ATL	MSP	1645	47	21	0
2015	1	1	4	DL	1108	N349NW	ATL	MSP	1826	21	4	0
2015	1	1	4	DL	888	N670DN	ATL	MSP	1920	-1	-18	0
2015	1	1	4	DL	2034	N905DL	ATL	MSP	2040	-4	-12	0
2015	1	1	4	DL	1462	N962DN	ATL	MSY	1106	-5	-2	0
2015	1	1	4	DL	2057	N962DL	ATL	MSY	1455	0	-11	0
2015	1	1	4	DL	1277	N982DL	ATL	MSY	1627	0	-5	0
2015	1	1	4	DL	1140	N554NW	ATL	MSY	1735	-5	-14	0
2015	1	1	4	DL	2476	N931DN	ATL	MSY	1905	-1	-14	0
2015	1	1	4	DL	552	N678DL	ATL	MSY	2048	1	5	0
2015	1	1	4	DL	2628	N987DL	ATL	MTJ	1005	-7	-27	0
2015	1	1	4	DL	1677	N896AT	ATL	MYR	2056	-3	-6	0
2015	1	1	4	DL	2513	N966DL	ATL	OKC	810	10	-1	0
2015	1	1	4	DL	2482	N370NB	ATL	OKC	1005	-1	-15	0
2015	1	1	4	DL	1222	N912DE	ATL	OKC	1341	-4	-8	0
2015	1	1	4	DL	1259	N992DL	ATL	OKC	2059	-4	-12	0
2015	1	1	4	DL	936	N903DE	ATL	OMA	1035	-2	-7	0
2015	1	1	4	DL	1582	N958AT	ATL	OMA	1524	-2	-15	0
2015	1	1	4	DL	1348	N948DL	ATL	OMA	1830	0	-9	0
2015	1	1	4	DL	1376	N935DL	ATL	OMA	2058	-4	-14	0
2015	1	1	4	DL	2183	N904DL	ATL	ORD	821	15	10	0
2015	1	1	4	DL	812	N937AT	ATL	ORD	1055	-1	-14	0
2015	1	1	4	DL	1612	N909DA	ATL	ORD	1342	-3	-10	0
2015	1	1	4	DL	392	N933AT	ATL	ORD	1455	0	-20	0
2015	1	1	4	DL	1812	N908DE	ATL	ORD	1620	-2	-8	0
2015	1	1	4	DL	1120	N530US	ATL	ORD	1910	0	-6	0
2015	1	1	4	DL	1233	N910AT	ATL	ORF	937	-3	-16	0
2015	1	1	4	DL	2141	N905DE	ATL	ORF	1205	-3	-8	0
2015	1	1	4	DL	2095	N904DL	ATL	ORF	1405	7	2	0
2015	1	1	4	DL	1676	N981DL	ATL	ORF	1930	21	10	0
2015	1	1	4	DL	1134	N973DL	ATL	PBI	822	-3	-3	0
2015	1	1	4	DL	2445	N541US	ATL	PBI	1102	5	-8	0
2015	1	1	4	DL	1315	N635DL	ATL	PBI	1220	12	-7	0
2015	1	1	4	DL	768	N966DL	ATL	PBI	1357	3	-8	0
2015	1	1	4	DL	1229	N337NW	ATL	PBI	1505	-2	-11	0
2015	1	1	4	DL	838	N909DE	ATL	PBI	1735	-3	-13	0
2015	1	1	4	DL	1285	N555NW	ATL	PBI	1955	14	-1	0
2015	1	1	4	DL	1081	N542US	ATL	PBI	2100	-4	-13	0
2015	1	1	4	DL	887	N823DN	ATL	PDX	1620	10	-14	0
2015	1	1	4	DL	2489	N684DA	ATL	PDX	1909	-1	-15	0
2015	1	1	4	DL	1730	N635DL	ATL	PDX	2030	10	-2	0
2015	1	1	4	DL	1494	N947DN	ATL	PHL	840	-4	-23	0
2015	1	1	4	DL	1561	N965DL	ATL	PHL	1116	-6	-11	0
2015	1	1	4	DL	1761	N958DN	ATL	PHL	1230	-2	-5	0
2015	1	1	4	DL	2236	N665DN	ATL	PHL	1355	3	-6	0
2015	1	1	4	DL	2094	N522US	ATL	PHL	1510	-1	-11	0
2015	1	1	4	DL	813	N903DE	ATL	PHL	1630	-2	-16	0
2015	1	1	4	DL	2394	N958DN	ATL	PHL	1822	-8	-11	0
2015	1	1	4	DL	1772	N542US	ATL	PHX	1050	0	3	0
2015	1	1	4	DL	2046	N3738B	ATL	PHX	1335	10	4	0
2015	1	1	4	DL	1115	N662DN	ATL	PHX	1637	-4	-2	0
2015	1	1	4	DL	1915	N589NW	ATL	PHX	1900	-2	-9	0
2015	1	1	4	DL	1295	N603AT	ATL	PIT	905	1	-7	0
2015	1	1	4	DL	754	N927AT	ATL	PIT	1500	101	86	0
2015	1	1	4	DL	1072	N915DN	ATL	PIT	1600	-3	-17	0
2015	1	1	4	DL	1657	N924AT	ATL	PIT	1650	-2	-11	0
2015	1	1	4	DL	1296	N998DL	ATL	PIT	1910	-7	-14	0
2015	1	1	4	DL	1353	N927DA	ATL	PNS	1100	-4	-19	0
2015	1	1	4	DL	1270	N968AT	ATL	PNS	1346	-2	-7	0
2015	1	1	4	DL	1832	N957AT	ATL	PNS	1503	-2	-14	0
2015	1	1	4	DL	1236	N997DL	ATL	PNS	1738	-5	-12	0
2015	1	1	4	DL	1213	N913DL	ATL	PNS	1951	1	-10	0
2015	1	1	4	DL	1112	N926DL	ATL	PVD	1506	-2	-16	0
2015	1	1	4	DL	772	N975DL	ATL	PVD	2034	-3	-11	0
